,path,label
0,{}/train/label_3/one_side.02_23_44_25.Still4342.png,label_3
1,{}/train/label_3/one_side.02_23_54_12.Still4374.png,label_3
2,{}/train/label_3/one_side.02_23_52_07.Still4392.png,label_3
3,{}/train/label_1/one_side.00_05_12_08.Still3706.png,label_1
4,{}/train/label_2/one_side.00_01_45_24.Still3432.png,label_2
5,{}/train/label_2/one_side.01_15_49_06.Still2983.png,label_2
6,{}/train/label_1/one_side.01_14_28_10.Still2719.png,label_1
7,{}/train/label_1/one_side.00_05_13_25.Still3708.png,label_1
8,{}/train/label_2/one_side.01_15_06_00.Still2845.png,label_2
9,{}/train/label_2/one_side.01_15_35_23.Still2938.png,label_2
10,{}/train/label_1/one_side.00_05_49_14.Still3773.png,label_1
11,{}/train/label_1/one_side.00_05_46_16.Still3765.png,label_1
12,{}/train/label_3/one_side.02_18_38_03.Still4032.png,label_3
13,{}/train/label_2/one_side.01_15_56_08.Still3035.png,label_2
14,{}/train/label_3/one_side.02_21_47_09.Still4299.png,label_3
15,{}/train/label_1/one_side.01_13_48_01.Still2641.png,label_1
16,{}/train/label_2/one_side.02_16_51_28.Still3953.png,label_2
17,{}/train/label_1/one_side.00_05_36_17.Still3750.png,label_1
18,{}/train/label_2/one_side.01_17_33_06.Still3273.png,label_2
19,{}/train/label_1/one_side.00_03_53_11.Still3575.png,label_1
20,{}/train/label_1/one_side.01_14_41_28.Still2763.png,label_1
21,{}/train/label_1/one_side.01_15_27_07.Still2910.png,label_1
22,{}/train/label_1/one_side.00_03_36_18.Still3524.png,label_1
23,{}/train/label_2/one_side.02_16_01_14.Still3869.png,label_2
24,{}/train/label_2/one_side.00_04_18_12.Still3637.png,label_2
25,{}/train/label_1/one_side.00_03_37_04.Still3547.png,label_1
26,{}/train/label_3/one_side.02_16_39_21.Still3951.png,label_3
27,{}/train/label_2/one_side.01_15_13_18.Still2863.png,label_2
28,{}/train/label_1/one_side.00_00_52_29.Still3471.png,label_1
29,{}/train/label_3/one_side.00_03_44_05.Still3552.png,label_3
30,{}/train/label_3/one_side.01_15_38_04.Still2968.png,label_3
31,{}/train/label_1/one_side.00_05_27_09.Still3737.png,label_1
32,{}/train/label_1/one_side.00_02_12_24.Still3479.png,label_1
33,{}/train/label_3/one_side.01_17_12_22.Still3168.png,label_3
34,{}/train/label_1/one_side.01_17_44_03.Still3281.png,label_1
35,{}/train/label_3/one_side.02_20_39_16.Still4164.png,label_3
36,{}/train/label_1/one_side.00_03_56_10.Still3577.png,label_1
37,{}/train/label_2/one_side.01_17_57_24.Still3346.png,label_2
38,{}/train/label_2/one_side.01_17_23_03.Still3213.png,label_2
39,{}/train/label_2/one_side.01_17_22_05.Still3212.png,label_2
40,{}/train/label_3/one_side.02_16_43_03.Still3944.png,label_3
41,{}/train/label_3/one_side.02_19_03_27.Still4069.png,label_3
42,{}/train/label_3/one_side.02_21_05_25.Still4181.png,label_3
43,{}/train/label_2/one_side.01_15_06_27.Still2853.png,label_2
44,{}/train/label_2/one_side.01_16_35_08.Still3096.png,label_2
45,{}/train/label_1/one_side.01_14_17_22.Still2699.png,label_1
46,{}/train/label_1/one_side.01_14_28_22.Still2727.png,label_1
47,{}/train/label_3/one_side.02_19_35_05.Still4140.png,label_3
48,{}/train/label_1/one_side.01_16_59_07.Still3132.png,label_1
49,{}/train/label_3/one_side.02_22_16_25.Still4329.png,label_3
50,{}/train/label_3/one_side.02_17_38_19.Still3986.png,label_3
51,{}/train/label_1/one_side.00_04_17_18.Still3646.png,label_1
52,{}/train/label_2/one_side.01_17_28_03.Still3231.png,label_2
53,{}/train/label_1/one_side.00_05_20_13.Still3732.png,label_1
54,{}/train/label_2/one_side.01_15_06_09.Still2832.png,label_2
55,{}/train/label_3/one_side.02_16_14_04.Still3920.png,label_3
